Concentration,Box,SurfaceArea,Sample,Overall,NormalizedSample,NormalizedOverall,OverallStdDev
60.0,Box 1,3027,3027.0,17565.0,1.0,1.0,0.3238257020340804
30.0,Box 3,2949,2949.0,17043.0,0.9742063492063492,0.8939670932358318,0.3238257020340804
15.0,Box 5,2511,2511.0,15630.0,0.8293650793650794,0.6069469835466179,0.3238257020340804
7.5,Box 7,2574,2574.0,16536.0,0.8501984126984127,0.7909811090798293,0.3238257020340804
3.75,Box 9,2472,2472.0,17382.0,0.816468253968254,0.9628275441803779,0.3238257020340804
1.875,Box 11,744,744.0,13326.0,0.24503968253968253,0.13893967093235832,0.3238257020340804
0.9375,Box 13,1164,1164.0,12642.0,0.38392857142857145,0.0,0.3238257020340804
0.46875,Box 15,1248,1248.0,15078.0,0.4117063492063492,0.4948202315661182,0.3238257020340804
0.234375,Box 17,240,240.0,15237.0,0.07837301587301587,0.5271176112126752,0.3238257020340804
0.1171875,Box 19,3,3.0,14502.0,0.0,0.3778184034125533,0.3238257020340804
