Concentration,Box,SurfaceArea,Sample,Overall,NormalizedSample,NormalizedOverall,OverallStdDev
60.0,Box 1,1455,1455.0,14391.0,1.0,0.8221614227086184,0.32558050443037584
30.0,Box 3,1242,1242.0,13857.0,0.8075880758807588,0.5786593707250342,0.32558050443037584
15.0,Box 5,963,963.0,14292.0,0.5555555555555556,0.7770177838577291,0.32558050443037584
7.5,Box 7,702,702.0,14424.0,0.31978319783197834,0.8372093023255814,0.32558050443037584
3.75,Box 9,771,771.0,13863.0,0.3821138211382114,0.5813953488372093,0.32558050443037584
1.875,Box 11,462,462.0,14781.0,0.10298102981029811,1.0,0.32558050443037584
0.9375,Box 13,372,372.0,12588.0,0.02168021680216802,0.0,0.32558050443037584
0.46875,Box 15,690,690.0,13116.0,0.3089430894308943,0.24076607387140903,0.32558050443037584
0.234375,Box 17,939,939.0,14454.0,0.5338753387533876,0.8508891928864569,0.32558050443037584
0.1171875,Box 19,348,348.0,12891.0,0.0,0.1381668946648427,0.32558050443037584
